Time,IMU_SHIN_L_YAW,IMU_SHIN_L_PITCH,IMU_SHIN_L_ROLL,IMU_SHIN_R_YAW,IMU_SHIN_R_PITCH,IMU_SHIN_R_ROLL,
12.91,0.00,0.03,-4.74,0.00,-0.12,-1.91,
12.92,0.00,0.03,-4.74,0.00,-0.12,-1.91,
12.93,0.00,0.03,-4.74,0.00,-0.12,-1.91,
12.94,0.00,0.03,-4.74,0.00,-0.12,-1.91,
12.95,0.00,0.03,-4.74,0.00,-0.12,-1.91,
12.96,0.00,0.03,-4.74,0.00,-0.12,-1.91,
12.97,0.00,0.03,-4.74,0.00,-0.12,-1.91,
12.98,0.00,0.03,-4.74,0.00,-0.12,-1.91,
12.99,0.00,0.03,-4.73,0.00,-0.12,-1.91,
13.00,0.00,0.03,-4.73,0.00,-0.12,-1.91,
13.01,0.00,0.03,-4.73,0.00,-0.12,-1.91,
13.02,0.00,0.03,-4.73,0.00,-0.12,-1.91,
13.03,0.00,0.03,-4.73,0.00,-0.12,-1.91,
13.04,0.00,0.03,-4.73,0.00,-0.12,-1.91,
13.05,0.00,0.03,-4.73,0.00,-0.12,-1.91,
13.06,0.00,0.03,-4.73,0.00,-0.12,-1.91,
13.07,0.00,0.03,-4.73,0.00,-0.12,-1.90,
13.08,0.00,0.03,-4.73,0.00,-0.12,-1.90,
13.09,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.10,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.11,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.12,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.13,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.14,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.15,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.16,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.17,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.18,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.19,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.20,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.21,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.22,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.23,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.24,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.25,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.26,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.27,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.28,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.29,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.30,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.31,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.32,0.00,0.03,-4.73,0.00,-0.13,-1.89,
